FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;001003;147;01;2;1;062;1;2;2;2;7;0;55;2;1; ;      ;  ; ; ; ;1;1;5;5;5;5;1;1;4;1;040.147
2 ;001003;151;01;1;1;070;1;2;1;2;7;0;21;1;2; ;      ;  ; ; ; ;2; ;5;1;5;5;1;5;5;1;034.599
2 ;001003;151;02;2;2;065;1;2;2;1;7;0;55;1;2; ;      ;  ; ; ; ;2; ;5;4;5;5;1;5;5;1;034.599
2 ;001003;154;01;1;1;035;1;1;1;5;1;0;31;3; ;2;999999;08;3; ;1;2; ;5;5;4;5;1;5;5;1;024.609
2 ;001003;154;02;2;2;034;1;1;1;3;6;0;56;3; ; ;      ;  ; ; ; ;2; ;5;5;4;5;1;5;5;1;024.609
2 ;001003;154;03;2;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;024.609
2 ;001003;155;01;1;4;024;1;1;2;0;4;0;87;3; ;1;001003;  ; ; ; ;2; ;3;5;5;2;2;5;5;1;024.609
2 ;001003;155;02;1;1;023;1;1;2;3;1;0;55;3; ;2;005001;09;3; ;1;2; ;5;5;5;2;2;5;5;1;024.609
2 ;001003;155;03;1;4;021;1;1;1;3;1;0;61;3; ;2;007002;07;3; ;1;2; ;1;5;5;5;2;5;5;2;024.609
2 ;001003;156;01;1;1;081;1;2;1;1;7;0;51;2;2; ;      ;  ; ; ; ;2; ;5;5;3;5;2;5;5;2;034.599
2 ;001003;156;02;2;2;080;2;2;2;1;7;0;66;2;2; ;      ;  ; ; ; ;2; ;5;5;5;3;2;5;5;1;034.599
2 ;001003;177;01;1;1;037;1;1;1;5;1;0;32;3; ;1;001003;18; ; ; ;2; ;5;5;2;5;1;5;4;1;040.147
2 ;001003;184;01;1;1;032;1;1;1;3;1;0;55;3; ;2;001002;07;3; ;1;2; ;5;5;4;2;5;5;5;1;034.599
2 ;001003;184;02;2;2;030;1;1;1;5;1;0;41;3; ;2;015011;17;1;3; ;2; ;5;5;1;4;5;5;5;1;034.599
2 ;001003;191;01;1;1;029;1;1;1;5;6;0;54;3; ; ;      ;  ; ; ; ;2; ;5;5;1;5;5;5;5;1;034.599
2 ;001003;191;02;2;2;025;1;1;1;0;4;1;88;3; ;2;013051;  ;3; ;1;2; ;5;5;2;2;2;5;5;1;034.599
2 ;001003;193;01;1;1;044;1;1;1;3;2;0;47;3; ;2;007006;19;3; ;1;2; ;5;5;5;2;2;5;3;1;024.609
2 ;001003;193;02;1;4;030;1;1;1;4;6;1;32;3; ; ;      ;  ; ; ; ;2; ;1;5;1;2;3;5;5;2;024.609
2 ;001003;193;03;1;4;026;1;1;1;2;2;0;61;3; ;2;008003;14;1;1; ;2; ;5;5;1;1;1;5;5;1;024.609
2 ;001003;196;01;2;1;080;2;2;2;2;7;0;22;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;040.147
2 ;001004;107;01;1;1;020;1;1;1;0;4;0;86;2;1;2;021051;  ;3; ;3;2; ;4;5;5;3;1;3;3;1;040.147
2 ;001004;111;01;2;1;060;1;1;1;5;1;0;41;3; ;2;024006;18;3; ;3;2; ;4;5;5;2;1;2;5;1;040.147
2 ;002001;008;01;1;1;068;1;1;1;5;7;1;32;3; ; ;      ;  ; ; ; ;2; ;5;5;4;4;5;5;3;1;049.270
2 ;002001;023;01;1;1;045;1;1;1;5;1;0;47;3; ;2;031006;11;3; ;1;2; ;5;5;3;3;1;5;5;1;046.930
2 ;002001;023;02;2;2;043;1;1;1;3;1;0;55;3; ;2;038051;07;1;3; ;2; ;5;5;1;3;3;4;5;1;046.930
2 ;002001;023;03;1;3;016;1;1;3;0;5;0;85;3; ;2;007009;  ; ; ; ;2; ;5;1;2;3;3;5;5;1;046.930
